time,position
0.0,8.989899151832946
0.5,9.027879738267755
1.0,8.562160372906463
1.5,10.1282529655793
2.0,10.744200620680678
2.5,10.946369601980766
3.0,10.42274089763827
3.5,11.99251273263549
4.0,11.632557392843122
4.5,14.03886865225315
5.0,14.421341754926976
5.5,15.12587844552839
6.0,14.536398322519196
6.5,14.80612529314095
7.0,15.002995595676598
7.5,12.671337137578947
8.0,14.38085292658579
8.5,14.100791936468198
9.0,14.402152704744202
9.5,15.435914322954135
10.0,13.976504074821989
10.5,16.438918698958794
11.0,16.311961065908832
11.5,17.603737995999563
12.0,16.852979269531296
12.5,18.121267867004118
13.0,17.20185741765535
13.5,17.36766886004524
14.0,16.26097982284529
14.5,17.66415804138449
15.0,16.676133089362775
15.5,17.812024049148086
16.0,16.526931530937695
16.5,17.01102561291953
17.0,17.63985606412053
17.5,17.230319768739612
18.0,17.524636942856855
18.5,17.049722174130835
19.0,16.244856422997955
19.5,17.250334418664572
20.0,16.961851879591965
20.5,18.2160045513971
21.0,17.314264849422152
21.5,17.943721454995927
22.0,18.797255115724578
22.5,18.537718982197283
23.0,20.050339675991033
23.5,17.974662466052223
24.0,19.228444131878852
24.5,21.07703899412936
25.0,21.175392779256484
