time,x,y,$\xi$,S,$\Delta V$
0.0,0.0,2.3655012610818726,-3.2812675993718523,844.2417586516846,0.0
100.0,0.0,2.0932429751967625,-3.169595275242847,766.8160368722024,-2.5579538487363607e-13
200.0,0.0,1.9016450038870762,-2.883458052483162,712.3391782502767,-1.4210854715202004e-13
300.0,2.966613201356387e-08,1.7667964634833933,-1.7334583631179092,674.010928189797,-1.4210854715202004e-13
400.0,0.0,1.7127225348683703,-2.070275450570983,658.6640493329537,-2.842170943040401e-14
500.0,0.00011033984691803394,1.7294406654877608,-1.2434945519800347,663.459505412236,-4.547473508864641e-13
600.0,0.0,1.75090943939938,-1.835682100344328,669.6151198924465,1.1368683772161603e-13
700.0,8.191561983112372e-07,1.661328027885032,-1.71470353699793,644.1971397248465,2.842170943040401e-14
800.0,4.844123713696616e-07,1.7557649710697674,-1.720789264589611,671.1230608398139,0.0
900.0,0.00041654628504123167,2.2581672158393693,-0.5825424540745022,814.0833985307397,4.263256414560601e-13
1000.0,0.001023157481778056,5.261651138586856,0.31525821108726887,1668.360454323325,2.2737367544323206e-13
1100.0,0.0011155158460069087,8.203257445157085,0.4320270734872899,2505.0486095200404,1.1368683772161603e-13
1200.0,0.0015355143989255957,12.062168758041224,0.9245294100491024,3602.627406998477,2.2737367544323206e-13
1300.0,0.0017027781962315337,14.473391835547092,1.1006832618373366,4288.4927743436565,2.2737367544323206e-13
1400.0,0.0006954110501812633,14.745570310542883,-0.134272529465946,4366.022966747038,1.5916157281026244e-12
1500.0,0.0008374202599613699,13.316030491180115,0.06821153768270981,3959.5935927324426,1.1368683772161603e-12
1600.0,0.0005174144590166313,12.091241050937503,-0.4106465272379828,3611.4043500048756,2.2737367544323206e-13
1700.0,0.0006985929900090979,10.346428515470663,-0.12958137634153216,3115.329669910948,-1.0231815394945443e-12
1800.0,0.00039483993416362224,9.476106904916833,-0.6214172530330331,2867.969347710733,-5.684341886080801e-13
1900.0,0.0002489306651817286,8.622935261080222,-0.9065889867880543,2625.4956233097046,5.684341886080801e-13
2000.0,0.0007117365315989049,8.279802197494101,-0.11028455909648072,2528.0860272968316,-4.547473508864641e-13
2100.0,0.0010166084067965936,8.596099612531072,0.3068373676644195,2618.227624953618,1.5916157281026244e-12
2200.0,0.0008709781790308263,9.766055355515617,0.11420047788965476,2951.1588264970032,1.1368683772161603e-13
2300.0,0.0013095474442228812,10.859404166605003,0.6665954391733419,3262.3122023820147,-2.2737367544323206e-13
2400.0,0.0009359415078518074,12.065276735148359,0.20145899371754114,3605.476531499635,2.2737367544323206e-13
2500.0,0.001713374409726313,13.933522853141413,1.1113934005098574,4137.029106019908,-9.094947017729282e-13
2600.0,0.0011822275823036323,14.862130280739313,0.514217171694692,4401.357656744376,4.547473508864641e-13
2700.0,0.0008486612183612659,13.352370306582124,0.08368907830651867,3972.223750463285,-9.094947017729282e-13
2800.0,0.0011097431720418348,12.675894268904763,0.42483311891445835,3780.0850405598912,-9.094947017729282e-13
2900.0,0.0013569842420682017,13.372319048161893,0.7219918303961189,3978.4085811136647,2.2737367544323206e-13
3000.0,0.0013959836630360407,15.905901298320948,0.767015522832656,4699.228978280724,-9.094947017729282e-13
3100.0,0.0007207480367146312,15.066041761249325,-0.09712818733500754,4460.651817306284,1.5916157281026244e-12
3200.0,0.0011269816334743411,15.097062695701489,0.44627628373352984,4469.762363329341,2.0463630789890885e-12
3300.0,0.001669622151348365,15.730859591789933,1.0711368335430664,4650.311708978993,0.0
3400.0,0.001332714822545314,16.52884772685929,0.6937386725726501,4877.566374865848,-2.2737367544323206e-13
3500.0,0.0009612568662208598,15.527295684387758,0.2348688508146259,4593.041162358411,0.0
3600.0,0.0010398984847310093,14.916235291307993,0.33669634859158437,4419.58113975802,9.094947017729282e-13
3700.0,0.0005251793426853988,13.435291142151305,-0.3979390190368799,3998.7355589663234,-2.2737367544323206e-13
3800.0,0.000763086058896422,12.161708788168092,-0.03609025239267746,3636.8730724720504,0.0
3900.0,0.0008667301021785435,11.789440529234675,0.10841442659902428,3531.3537325702537,2.2737367544323206e-13
4000.0,0.0006562336890412481,11.882729252943294,-0.1926800335973853,3558.248235200461,-6.821210263296962e-13
4100.0,0.0004726297484727119,10.839555528607702,-0.48532538235174216,3261.942273482859,6.821210263296962e-13
4200.0,2.1955699569730818e-05,8.861963715800966,-1.560926120935711,2699.89728298746,4.547473508864641e-13
4300.0,0.0,6.703869579413728,-2.036014588106165,2086.526927457712,-1.1368683772161603e-13
4400.0,0.0,5.135567897412145,-1.9444636806283513,1640.9030624579273,1.1368683772161603e-13
